numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,error
98,CEIP JUAN ARENCIBIA SOSA ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuanarencibiasosa,4208,4395,90,
99,Mediateca CEO Tunte,https://www3.gobiernodecanarias.org/medusa/mediateca/ceotunte,212,274,87,
100,IES_Tablero_I,https://www3.gobiernodecanarias.org/medusa/mediateca/iestableroiaguanac,97,106,86,
101,MEDIATECA CEIP TAGOJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptagoja,15,15,86,
102,mediateca miranda,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiranda,49,49,86,
103,CEIP Las Retamas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasretamas,36,36,86,
104,CEIP CHANO SÁNCHEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipchanosanchez,164,164,86,
105,LAS LAJAS FM,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbarrancodelaslajas,32,32,86,
106,Canal CEO Rey Juan Carlos I,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoreyjuancarlosi,137,142,86,
107,IES GUIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesguia,108,121,86,
108,IES TAMOGANTE,https://www3.gobiernodecanarias.org/medusa/mediateca/iestamogante,114,114,90,
109,CEIP LA VIÑUELA: NUESTRAS COSITAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplavinuela,0,0,86,
110,MediatecaeZerpa,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosezerpa,78,81,10,
111,CEIPARB,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcalderamirezbethencourt,34,55,88,
112,CEIP La Cardonera fotos,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplacardonera,453,457,119,
113,Mediateca IES Josefina de la Torre,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosefinadelatorre,0,0,0,file_not_found:Local XML file not found for 'https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosefinadelatorre' in 'exports'
114,IES LA ALDEA,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslaaldeadesannicolas,412,646,86,
115,CeipLasVegas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasvegas,13,16,86,
116,Mediateca CEIP La Zafra,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplazafra,7,12,86,
117,Mediateca CEE MARENTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceeemarente,2,4,86,
118,Radio Pulido,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosemariaperezpulido,186,197,86,
119,CEIP Piedra Molino,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippiedrademolino,7,7,86,
120,CEIP Saucillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsaucillo,40,43,86,
121,CEP Telde,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofestelde,90,138,90,
122,Mediateca CEPA Puerto de la Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepapuertodelacruz,16,21,86,
123,Canal del CEIP Carreteria,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcarreteria,164,196,86,
124,ESCUELA DE ARTE MANOLO BLAHNIK,https://www3.gobiernodecanarias.org/medusa/mediateca/eamanoloblahnik,8,8,86,
125,CEIP ISAAC DE VEGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipisaacdevega,62,74,12,
126,Mediateca IES Roque Amagro,https://www3.gobiernodecanarias.org/medusa/mediateca/iesroqueamagro,213,233,86,
127,CEIP Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvilladefirgas,117,123,86,
128,CEIP TESEJERAGUE MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptesejerague,88,88,86,
129,Mediateca IES Arucas Domingo Rivero,https://www3.gobiernodecanarias.org/medusa/mediateca/iesarucasdomingorivero,46,58,86,
130,CEIP TRAPICHE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeltrapiche,86,119,86,
131,Servicio de Actividades Complementarias y Extraescolares,https://www3.gobiernodecanarias.org/medusa/mediateca/servicioactividadescomplementarias,0,0,86,
132,Martín Miranda Radio,https://www3.gobiernodecanarias.org/medusa/mediateca/iesprofesormartinmiranda,3566,3567,87,
133,IES Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvilladefirgas,128,234,86,
134,MEDIATECA del CEIP DOCTOR GREGORIO CHIL,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdoctorgregoriochilynaranjo,23,24,86,
135,Mediateca La Rosa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplarosacaminoviejo,1872,1877,86,
136,MEDIATECA EASD GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/easdgrancanaria,2,4,86,
137,Mediateca del IES Santa María de Guía,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantamariadeguia,84,98,86,
138,Radio Alpaca,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvegadesanmateo,22,22,86,
139,Mediateca IES Bañaderos,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbanaderos,9,12,86,
140,CEIP SAN JOSÉ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjose,21,21,86,
141,CEPA ARUCAS Y FIRGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/cepaarucasyfirgasfernandomarreropulido,4,8,86,
142,CEIP TÍNCER,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptincer,5,6,86,
143,IES LUCAS MARTÍN ESPINO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslucasmartinespino,17,26,86,
144,MEDIATECA GARCIA ESCAMEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipgarciaescamez,86,88,86,
145,CEOBYM MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobethencourtymolina,17,18,86,
146,Mediateca IES Los Naranjeros,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslosnaranjeros,4,4,86,
147,Ceip Santa Cruz de California,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantacruzdecalifornia,90,93,86,
148,IES Casas Nuevas,https://www3.gobiernodecanarias.org/medusa/mediateca/iescasasnuevas,80,80,86,
149,Rayca,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipramonycajal,218,218,86,
150,CEIP TOMÁS DE IRIARTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptomasdeiriarte,10,13,86,
151,IES ANA LUISA BENÍTEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/iesanaluisabenitez,0,0,86,
152,Mediateca del Monzón,https://www3.gobiernodecanarias.org/medusa/mediateca/iesfranciscohernandezmonzon,2,4,86,
153,CEIP MONTAÑA ROJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmontanaroja,755,852,86,
154,Colegio Pintor Manolo Millares,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippintormanolomillares,8,8,86,
155,MediatecaJCR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuancruzruiz,116,117,86,
156,CEIP Mª del Carmen Fernández Melián,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariadelcarmenfernandezmelian,180,181,86,
157,Canal de Igualdad y Educación Afectivo Sexual,https://www3.gobiernodecanarias.org/medusa/mediateca/igualdad,43,48,87,
158,CEIP ADOLFO TOPHAM,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadolfotopham,4,4,86,
159,IES CANDIDO MARANTE EXPÓSITO,https://www3.gobiernodecanarias.org/medusa/mediateca/iescandidomaranteexposito,26,28,86,
160,Mediateca del IES Cairasco de Figueroa,https://www3.gobiernodecanarias.org/medusa/mediateca/iescairascodefigueroa,65,65,27,
161,IES EUSEBIO BARRETO LORENZO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseusebiobarretolorenzo,0,0,86,
162,CEIP BILINGÜE FERNANDO LEÓN Y CASTILLO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoleonycastillo,19,19,86,
163,CEIP IBERIA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipiberia,50,58,87,
164,El Jable,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcostacalma,1,1,86,
165,CEIP Manolo Ortega,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmanoloortega,10,11,86,
166,MEDIATECA CEO MOGÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceomogan,278,279,87,
167,IES GRAN TARAJAL,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrantarajal,7,8,86,
168,Ceip Cristóbal García Blairzy,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcristobalgarciablairzy,6,9,86,
169,CEIP ALCALDE DIEGO TRUJILLO RODRÍGUEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcaldediegotrujillorodriguez,23,23,86,
170,CER Moya,https://www3.gobiernodecanarias.org/medusa/mediateca/cermoya,6,7,86,
171,ceipleonycastillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipleonycastillo,68,68,86,
172,CEIP VÍCTOR RODRÍGUEZ JIMÉNEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvictorrodriguezjimenez,31,31,86,
173,Radio Educat-Higa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantateresadejesus,103,105,86,
174,MEDIATECA C.PROFES.LAPALMA,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslapalma,21,31,86,
175,IES SANTA LUCÍA,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantalucia,73,73,87,
176,IES Puerto Cabras Rafael Báez,https://www3.gobiernodecanarias.org/medusa/mediateca/iesenpuertodelrosario,270,270,87,
177,CEO Barlovento,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobarlovento,57,57,86,
178,Mediateca CEO La Pared,https://www3.gobiernodecanarias.org/medusa/mediateca/ceolapared,37,37,86,
179,ceipmarpequeña,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmarpequena,101,102,86,
