numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,post_date,error
104,CEIP CHANO SÁNCHEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipchanosanchez,164,164,86,2025-06-10 13:37:14,
105,LAS LAJAS FM,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbarrancodelaslajas,32,32,86,2024-11-05 13:18:46,
106,Canal CEO Rey Juan Carlos I,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoreyjuancarlosi,137,142,86,2025-06-30 11:03:58,
107,IES GUIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesguia,108,121,86,2025-04-24 21:11:39,
108,IES TAMOGANTE,https://www3.gobiernodecanarias.org/medusa/mediateca/iestamogante,114,114,90,2024-06-26 20:18:51,
109,CEIP LA VIÑUELA: NUESTRAS COSITAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplavinuela,0,0,86,,
110,MediatecaeZerpa,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosezerpa,78,81,10,2025-06-05 15:17:40,
111,CEIPARB,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcalderamirezbethencourt,34,55,88,2023-07-07 09:02:08,
112,CEIP La Cardonera fotos,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplacardonera,453,457,119,2025-06-19 08:27:28,
113,Mediateca IES Josefina de la Torre,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosefinadelatorre,0,0,0,,file_not_found:Local XML file not found for 'https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosefinadelatorre' in 'exports'
114,IES LA ALDEA,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslaaldeadesannicolas,412,646,86,2025-07-01 08:29:18,
115,CeipLasVegas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasvegas,13,16,86,2024-10-27 18:47:53,
116,Mediateca CEIP La Zafra,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplazafra,7,12,86,2021-05-22 17:21:16,
117,Mediateca CEE MARENTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceeemarente,2,4,86,2020-05-04 10:13:51,
118,Radio Pulido,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjosemariaperezpulido,186,197,86,2025-06-23 11:44:06,
119,CEIP Piedra Molino,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippiedrademolino,7,7,86,2025-06-26 11:26:13,
120,CEIP Saucillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsaucillo,40,43,86,2024-06-25 18:31:01,
121,CEP Telde,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofestelde,90,138,90,2025-02-25 19:11:43,
122,Mediateca CEPA Puerto de la Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepapuertodelacruz,16,21,86,2025-07-07 09:49:59,
123,Canal del CEIP Carreteria,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcarreteria,164,196,86,2025-05-17 09:50:58,
124,ESCUELA DE ARTE MANOLO BLAHNIK,https://www3.gobiernodecanarias.org/medusa/mediateca/eamanoloblahnik,8,8,86,2025-03-05 14:02:43,
125,CEIP ISAAC DE VEGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipisaacdevega,62,74,12,2025-06-05 08:29:56,
126,Mediateca IES Roque Amagro,https://www3.gobiernodecanarias.org/medusa/mediateca/iesroqueamagro,213,233,86,2025-07-03 08:06:00,
127,CEIP Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvilladefirgas,117,123,86,2025-06-26 20:32:13,
128,CEIP TESEJERAGUE MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptesejerague,88,88,86,2023-04-26 08:16:17,
129,Mediateca IES Arucas Domingo Rivero,https://www3.gobiernodecanarias.org/medusa/mediateca/iesarucasdomingorivero,46,58,86,2025-06-17 12:03:34,
